"","group","s__Actinomyces_graevenitzii","s__Rothia_mucilaginosa","s__Collinsella_aerofaciens","s__Bacteroides_coprocola","s__Bacteroides_dorei","s__Bacteroides_plebeius","s__Butyricimonas_synergistica","s__Parabacteroides_goldsteinii","s__Porphyromonas_gingivalis","s__Alloprevotella_unclassified","s__Paraprevotella_clara","s__Prevotella_copri","s__Prevotella_histicola","s__Prevotella_melaninogenica","s__Prevotella_pallens","s__Gemella_haemolysans","s__Lactobacillus_crispatus","s__Lactobacillus_salivarius","s__Streptococcus_downei","s__Clostridium_asparagiforme","s__Pseudoflavonifractor_capillosus","s__Eubacterium_limosum","s__Coprococcus_eutactus","s__Oribacterium_sinus","s__Catenibacterium_mitsuokai","s__Erysipelotrichaceae_bacterium_2_2_44A","s__Anaeroglobus_geminatus","s__Megamonas_funiformis","s__Fusobacterium_mortiferum","s__Sutterella_wadsworthensis","s__Aeromonas_veronii","s__Klebsiella_unclassified","s__Aggregatibacter_aphrophilus","cluster"
"1","0",0,0,1.51791,0,0.04974,9.2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19048,0,0,0,1
"2","0",0,0.01935,1.07983,0,0.7784,0,0,0,0,0,0,0.03396,0,0,0,0,0,0,0,0,0,0,2.61022,0,0,0,0,0,0,0,0,0,0,2
"3","1",0,0,0.49234,0.00799,0.90751,0,0,0,0,0,0.00333,0.02049,0,0,0,0,0,0,0,0.11087,0.0044,0,0,0,0,0.00591,0,0,0,0.00726,0,0,0,2
"4","1",0,0,0.19767,0,8.34775,0,0,0.23685,0,0,0,0,0,0,0,0,0,0.05044,0,0.00531,0.0392,0,0,0,0,0.01506,0,0,0,0,0,0,0,2
"5","1",0.00079,0,0.58514,0,0.34936,0,0.00061,0.15417,0,0,0,0,0,0,0,0,0,0,0,0.03053,0.04292,0,0,0,0,0.00316,0,0,0,1.22446,0,0,0,2
"6","1",0,0,0.50892,0,1.38519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.01531,0,0,0,0,0.12793,0,0,0,0,0,0,0,2
"7","1",0,0,0.73969,0,1.73103,0,0.00033,0,0,0,0,0.01463,0,0,0,0,0,0,0,0.11454,0.00975,0.00897,0,0,1.18841,0.00068,0,0,0,0,0,0,0,2
"8","0",0,0.08519,0.1981,0.12603,0.01369,3.27953,0,0,0,0,0.08546,0.00534,0,0,0,0,0,0,0,0,0.00222,0,0,0,0.07534,0,0,0,0,0.10513,0,0.11822,0,1
"9","0",0,0.00666,0.63015,0,0,0,0,0,0,0,0,0.0203,0,0,0,0.00119,0,0,0,0.00953,0.01783,0,0,0,0.05529,0,0,0,0,0,0,0,0,2
"10","0",0,0,2.2516,0,0.76462,0,0,0.04748,0,0,0.12781,0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,2
